doc_id,company_id,quarter,source_id,source_type,source_url,title,published_date,published_date_evidence,time_precision,article_dateline_date,observed_at,storage_uri,byte_size,sha256,body_chars,access_status,reuse_status,relation_candidate
SAM-2024Q1-NEWS-HBM3E,SAM,2024Q1,SAM_NEWSROOM,official_announcement,https://news.samsung.com/global/samsung-develops-industry-first-36gb-hbm3e-12h-dram,Samsung Develops Industry-First 36GB HBM3E 12H DRAM,2024-02-27,"Korea on February 27, 2024",date_only,,2026-09-15,artifacts/p0/news_raw/SAM-2024Q1-NEWS-HBM3E.html,137428,62ca908dad13e578c41534e4740b00da455ecfd55c2c0cd8dddf1555888e7c22,2579,body_read,source_specific_review_needed,
SAM-2026Q1-NEWS-HBM4,SAM,2026Q1,SAM_NEWSROOM,official_announcement,https://news.samsung.com/global/samsung-ships-industry-first-commercial-hbm4-with-ultimate-performance-for-ai-computing,Samsung Ships Industry-First Commercial HBM4 With Ultimate Performance for AI Computing,2026-02-12,"Korea on February 12, 2026",date_only,,2026-09-15,artifacts/p0/news_raw/SAM-2026Q1-NEWS-HBM4.html,144971,803cea72f2a355734d6db117d046955c007b798286a56e2852148eea43e684cd,3945,body_read,source_specific_review_needed,SAM-2026Q1-IR:prior_official_announcement
SKH-2025Q4-IR-ALT,SKH,2025Q4,SKH_NEWSROOM,official_earnings_announcement,https://news.skhynix.com/en/sk-hynix-announces-fy25-financial-results/,SK하이닉스 FY2025 공식 실적발표 HTML (IR 대체 후보),2026-01-28,"January 28, 2026",date_only,,2026-09-15T07:40:48+00:00,artifacts/p0/raw/SKH-2025Q4-IR-ALT.html,154554,581a8e28f3db3a5daaf58d71ec5a29718113bd890af8222b1f3b535a4912e864,11558,body_read,unverified,SKH-2025Q4-IR:alternate_publication
SKH-2026Q1-IR-ALT,SKH,2026Q1,SKH_NEWSROOM,official_earnings_announcement,https://news.skhynix.com/en/q1-2026-business-results/,SK하이닉스 2026Q1 공식 실적발표 HTML (IR 대체 후보),2026-04-22,"April 22, 2026",date_only,2026-04-23,2026-09-15T07:40:48+00:00,artifacts/p0/raw/SKH-2026Q1-IR-ALT.html,149645,c2fe1454c8e2362e960d114a295737cf2eb384b49017043ebbc9401098637399,10895,body_read,unverified,SKH-2026Q1-IR:alternate_publication
