doc_id,related_doc_id,relation_type,evidence,duplicate_decision
SKH-2025Q4-IR-ALT,SKH-2025Q4-IR,same_announcement_alternate_publication,Official IR PDF and official Newsroom HTML; different hash and format,not_exact_duplicate
SKH-2026Q1-IR-ALT,SKH-2026Q1-IR,same_announcement_alternate_publication,Official IR PDF and official Newsroom HTML; different hash and format,not_exact_duplicate
