doc_id,company_id,source_id,candidate_url,normalized_url,observed_at,revision_id,final_url,http_status,storage_uri,byte_size,sha256,title,publisher_page_date,publisher_date_evidence,article_dateline_date,dateline_evidence,trafilatura_date,published_date,time_precision,date_conflict,body_chars,block_count,native_tables,text_coverage_against_selected_dom,extraction_method,location_status,quality_status,fetch_status
SAM-2024Q1-NEWS-HBM3E,SAM,SAM_NEWSROOM,https://news.samsung.com/global/samsung-develops-industry-first-36gb-hbm3e-12h-dram,https://news.samsung.com/global/samsung-develops-industry-first-36gb-hbm3e-12h-dram,2026-09-15T10:38:31+00:00,62ca908dad13e578,https://news.samsung.com/global/samsung-develops-industry-first-36gb-hbm3e-12h-dram,,artifacts/p0/news_raw/SAM-2024Q1-NEWS-HBM3E.html,137428,62ca908dad13e578c41534e4740b00da455ecfd55c2c0cd8dddf1555888e7c22,Samsung Develops Industry-First 36GB HBM3E 12H DRAM,2024-02-27,"Korea on February 27, 2024",,,2024-02-27,2024-02-27,date_only,False,2579,8,0,1.0,Samsung Newsroom article body,source_xpath,body_extracted_located,reused_existing_raw
SAM-2026Q1-NEWS-HBM4,SAM,SAM_NEWSROOM,https://news.samsung.com/global/samsung-ships-industry-first-commercial-hbm4-with-ultimate-performance-for-ai-computing,https://news.samsung.com/global/samsung-ships-industry-first-commercial-hbm4-with-ultimate-performance-for-ai-computing,2026-09-15T10:38:31+00:00,803cea72f2a35573,https://news.samsung.com/global/samsung-ships-industry-first-commercial-hbm4-with-ultimate-performance-for-ai-computing,,artifacts/p0/news_raw/SAM-2026Q1-NEWS-HBM4.html,144971,803cea72f2a355734d6db117d046955c007b798286a56e2852148eea43e684cd,Samsung Ships Industry-First Commercial HBM4 With Ultimate Performance for AI Computing,2026-02-12,"Korea on February 12, 2026",,,2026-02-12,2026-02-12,date_only,False,3945,18,0,1.0,Samsung Newsroom article body,source_xpath,body_extracted_located,reused_existing_raw
SKH-2025Q4-IR-ALT,SKH,SKH_NEWSROOM,https://news.skhynix.com/en/sk-hynix-announces-fy25-financial-results/,https://news.skhynix.com/en/sk-hynix-announces-fy25-financial-results/,2026-09-15T10:38:31+00:00,581a8e28f3db3a5d,https://news.skhynix.com/en/sk-hynix-announces-fy25-financial-results/,,artifacts/p0/raw/SKH-2025Q4-IR-ALT.html,154554,581a8e28f3db3a5daaf58d71ec5a29718113bd890af8222b1f3b535a4912e864,SK하이닉스 FY2025 공식 실적발표 HTML (IR 대체 후보),2026-01-28,"January 28, 2026",,,2026-01-28,2026-01-28,date_only,False,7506,91,2,1.0,SK hynix Newsroom article body,source_xpath,body_extracted_located,reused_existing_raw
SKH-2026Q1-IR-ALT,SKH,SKH_NEWSROOM,https://news.skhynix.com/en/q1-2026-business-results/,https://news.skhynix.com/en/q1-2026-business-results/,2026-09-15T10:38:31+00:00,c2fe1454c8e2362e,https://news.skhynix.com/en/q1-2026-business-results/,,artifacts/p0/raw/SKH-2026Q1-IR-ALT.html,149645,c2fe1454c8e2362e960d114a295737cf2eb384b49017043ebbc9401098637399,SK하이닉스 2026Q1 공식 실적발표 HTML (IR 대체 후보),2026-04-22,"April 22, 2026",2026-04-23,"Seoul, April 23, 2026",2026-04-22,2026-04-22,date_only,True,6931,69,1,1.0,SK hynix Newsroom article body,source_xpath,needs_date_review,reused_existing_raw
